,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
17,3662,SUNBEAM CORP/FL/,199911,1999-11-15,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
18,3662,SUNBEAM CORP/FL/,199911,1999-11-19,10-Q,edgar/data/3662/0000950170-99-001856.txt,180,-0.31868131751398787,750.3846153846154,0.2876473603280369,300.2689050979774,2806,9755,203,71,0.009533572526909277,0.018452075858534086,0.02080984110712455,0.007278318810866222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0
19,3982,ALLIS CHALMERS ENERGY INC.,200603,2006-03-22,10-K,edgar/data/3982/0000950129-06-002926.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.0
20,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-01,10-K/A,edgar/data/3982/0000950129-06-004690.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0
21,3982,ALLIS CHALMERS ENERGY INC.,200605,2006-05-10,10-Q,edgar/data/3982/0000950129-06-005244.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.0
22,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-K/A,edgar/data/3982/0000950129-06-007243.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0
23,3982,ALLIS CHALMERS ENERGY INC.,200607,2006-07-24,10-Q/A,edgar/data/3982/0000950129-06-007244.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0
24,3982,ALLIS CHALMERS ENERGY INC.,200608,2006-08-14,10-Q,edgar/data/3982/0000950129-06-007871.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
25,3982,ALLIS CHALMERS ENERGY INC.,200611,2006-11-08,10-Q,edgar/data/3982/0000950129-06-009522.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,122,-0.5443037940233937,2502.0,0.3565147881694644,1000.9426059152679,892,2502,121,47,0.014388489208633094,0.04876099120703437,0.04836131095123901,0.018784972022382093,112.0
26,3982,ALLIS CHALMERS ENERGY INC.,200612,2006-12-29,10-Q/A,edgar/data/3982/0000950134-06-023819.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0
